Sample,Tau,N,BP,OT,BR,EL
UL_8_A,10000,7468667,0.274674067,0.06475,,
UL_8_B,31622.7766,11839983,0.274581264,0.059875,,
UL_8_C,100000,11717793,0.291047047,0.079625,,
UL_8_D,316227.766,10731049,0.276341429,0.0565,,
UL_8_E,1000000,8971691,0.25438383,0.0695,,
UL_8_F,3162277.66,8383681,0.244694413,0.057625,,
UL_8_G,10000000,16152526,0.341562867,0.050625,,
UL_8_H,31622776.6,7803139,0.388238959,0.06675,,
UL_12_A,67368.42,10560539,0.342944667,,,
UL_12_B,67368.42,8023990,0.569117511,,,
UL_12_C,33684.21,7895360,0.450424765,,,
UL_12_D,16842.11,9053613,0.370953296,,,
UL_12_E,8421.053,8149177,0.2216007,,,
UL_12_F,4210.526,5862232,0.097769239,,,
UL_12_G,2105.263,10626354,0.330971352,,,
UL_12_H,3368.421,6154562,0.716908154,,,
UL_12_I,3368.421,6448844,0.520940676,,,
UL_12_J,1648.211,6554768,0.300017965,,,
UL_12_K,842.1053,5534286,0.248065196,,,
UL_12_L,421.0526,5685252,0.669126309,,,
