Tau,Date,Y/N,DNA
2.5,0,Y,
7,20,Y,
5.75,0,Y,
8.25,20,N,
5.375,0,Y,
3.875,20,Y,
6.625,0,Y,
3.625,20,Y,
7.5,0,N,
5.5,20,N,
4.25,0,Y,
8.25,0,N,
3.875,0,N,
2.875,20,Y,
6.125,0,N,
1.75,20,Y,
7,0,Y,
2.5,20,Y,
3.75,0,Y,
4.75,20,Y,
5.625,0,Y,
4.625,20,Y,
3.625,0,Y,
6.875,20,Y,
4,0,N,
6.5,20,N,
2.75,0,Y,
6.25,20,N,
4.125,0,N,
5.625,20,Y,
7.125,0,N,
3.375,20,Y,
5.5,0,Y,
8,20,Y,
4.75,0,Y,
6.75,20,Y,
3.25,0,Y,
4.375,0,Y,
1.5,0,Y,
2.375,20,Y,
2,0,Y,
3.5,20,Y,
7.25,0,Y,
4.25,20,Y,
5.125,0,Y,
4.125,20,Y,
6.375,0,Y,
7.625,20,Y,
3.5,0,Y,
6,20,Y,
6.75,0,Y,
2.75,20,Y,
4.625,0,Y,
5.125,20,Y,
7.625,0,Y,
6.125,20,Y,
5,0,Y,
2,20,N,
5.25,0,Y,
3.75,20,Y,
4.875,,,
3.25,,,
1.75,,,
6.375,,,
6.5,,,
4.5,,,
7.75,,,
5.25,,,
2.875,,,
4.875,,,
2.375,,,
7.875,,,
4.5,,,
3,,,
7.5,,,
2.25,,,
7.25,,,
5.375,,,
6.875,,,
5.875,,,
3,,,
8,,,
5,,,
6.25,,,
5.75,,,
4.375,,,
3.375,,,
7.375,,,
1.5,,,
6.625,,,
6,,,
4,,,
2.25,,,
7.75,,,
5.875,,,
7.875,,,
7.125,,,
7.375,,,
,,,
,,,
,,,
1.5,,,
1.5,,,
1.75,,,
3.25,,,
1.75,,,
3.25,,,
1.5,,,
1.75,,,
3.375,,,
3.625,,,
1.5,,,
1.75,,,
3.375,,,
3.625,,,
