Date,2019-08-01
Date_std,1994-11-14
DPM_std,265600
DPM_curr,42544.8
Half_life,12.346
Kills,2790.4
M_Leu,5.31E-08
Voucher,7415604
,
Sample,CPM
UL_12_L,319490
UL_12_L,298883
UL_12_L,88446.3
UL_12_K,75971.8
UL_12_K,80852
UL_12_K,110483
UL_12_J,118129
UL_12_J,120744
UL_12_J,82663.2
UL_12_I,94163.3
UL_12_I,76519.7
UL_12_I,381457
UL_12_H,274448
UL_12_H,260921
UL_12_H,221326
UL_12_G,140293
UL_12_G,106465
UL_12_G,107088
UL_12_F,39843
UL_12_F,41720.6
UL_12_F,28861.1
UL_12_E,79338.5
UL_12_E,59566.6
UL_12_E,100778
UL_12_D,125949
UL_12_D,128750
UL_12_D,140881
UL_12_C,175098
UL_12_C,159248
UL_12_C,144188
UL_12_B,181779
UL_12_B,218265
UL_12_B,202384
UL_12_A,118957
UL_12_A,124389
UL_12_A,122998
